ticker,source,beta,returnannual,expectedreturncapm,volannual,sharpecapm,nobs
ARKW,fintual,1.7325779858126185,0.4472432561235694,0.2968474748844298,0.3624676294561599,0.7086080356190684,498
ARKK,fintual,1.9343964037021224,0.24572575560736698,0.32676621530740546,0.40470306011232265,0.708584252433909,498
EFA,fintual,0.7219030767483634,0.12005654284403033,0.14701912634954334,0.15265592448974769,0.7010479724730939,498
BLK,sp500,1.0558648980712977,0.23865298400396348,0.19652757631081266,0.23246062794948574,0.6733509140516754,498
EPP,fintual,0.813636711922604,0.0846974342700063,0.16061825594105913,0.18107238414076687,0.6661328093371195,498
JNK,fintual,0.2689173813675944,0.08622221221764166,0.079865882472473,0.06007388672188896,0.6636141699476086,498
HYG,fintual,0.2645239994719547,0.08854417428494488,0.07921458189302534,0.05947118365845737,0.6593879502757913,498
AXP,sp500,1.2168445166162791,0.3501352449063276,0.22039213471436667,0.27393560631213676,0.6585202162760043,498
MCO,sp500,1.030395501895381,0.24736997762681961,0.19275184433904394,0.2330297409131481,0.6555036440433398,498
MSFT,sp500,1.0320178382895295,0.20962384354617514,0.19299234895682293,0.23570275961727002,0.6490901897171216,498
AMZN,sp500,1.3675327873678682,0.34515448972167084,0.24273104364324466,0.3136024541560295,0.646458728101592,498
GS,sp500,1.2418286972508383,0.34572987871249455,0.22409593550174262,0.28530512485357606,0.64525982698777,498
ETN,sp500,1.4117790441604885,0.35289945823847263,0.2492903670464809,0.3253227263333899,0.6433315292950074,498
KLAC,sp500,1.814367442802176,0.4015260537270196,0.3089724214507361,0.4194444440082277,0.6412587537944835,498
ESPO,fintual,0.969809154183623,0.3547224976753342,0.18377017046943372,0.22486363609331053,0.6393660307519626,498
LRCX,sp500,1.8901631006427975,0.28275206491561355,0.32020881224121295,0.4392752882009995,0.6378888586899012,498
AAPL,sp500,1.1567267673781652,0.12625582439361777,0.21147992861802598,0.26920447532376734,0.6369876593314066,498
TXN,sp500,1.3613436365572134,0.08128562269852463,0.241813527796678,0.3175376229413068,0.6355578464287394,498
EWJ,fintual,0.7891390779139804,0.13562931595145133,0.1569865836658243,0.18416633762034393,0.6352224037108798,498
FLJP,fintual,0.7605679579199722,0.13540526637730732,0.15275103404833382,0.17923194301877954,0.6290789027295207,498
EEM,fintual,0.7267271340644963,0.10725689207260308,0.14773427276747808,0.17202108771125155,0.6262852665384664,498
QCOM,sp500,1.6021958575954982,0.22457538583871742,0.2775188670659953,0.38057295542146213,0.6241086332657484,498
EMR,sp500,1.1386634239593418,0.18752517080034398,0.20880211314127037,0.27331283351394475,0.6176150273333502,498
AMD,sp500,2.07167052210531,0.14509154483440984,0.3471165319843821,0.5043091893384574,0.6089846040427132,498
ISRG,sp500,1.2489955238984007,0.32875088151656956,0.22515838772174904,0.30672523367115784,0.6036620642703905,498
MA,sp500,0.7593141207490851,0.2120383933746421,0.1525651579065984,0.1877247174275832,0.5996288578781406,498
SPGI,sp500,0.8414871489056941,0.2099589046827159,0.1647469673018811,0.20846036687329536,0.5984205495412168,498
EWY,fintual,0.9612830846920839,0.020647855423162432,0.18250621615538656,0.2384011050659854,0.5977582029913127,498
META,sp500,1.4432941468223348,0.5424290991377568,0.2539623498407343,0.3617473569112585,0.5914690066228242,498
FLKR,fintual,0.9264872966079759,0.02799923509548083,0.17734788540248536,0.23234666059556558,0.5911334600223073,498
C,sp500,1.1386542409461728,0.28855391152065135,0.20880075179779053,0.2869495223915666,0.5882593927702998,498
ROP,sp500,0.7291838169581021,0.1296303248374427,0.14809846578099975,0.18383822716630044,0.5880086391564995,498
NVDA,sp500,2.1748284370202007,0.8416476863443386,0.36240926349615027,0.549251319011392,0.5869977045780443,498
CAT,sp500,1.1439640173138925,0.26710900531773746,0.2095879040434138,0.290979560642898,0.5828172386703786,498
AVGO,sp500,2.0080238852656938,0.7416390787177591,0.33768118298941346,0.5161628902140373,0.5767194593667399,498
V,sp500,0.7151017695917442,0.22900207501386435,0.14601086087266685,0.18492309184189648,0.5732700000673947,498
GE,sp500,1.1617803000359808,0.5310308269862081,0.21222909380021956,0.3032266367443724,0.5679880093958004,498
INTU,sp500,1.130456438323441,0.24930486599325252,0.20758546168069833,0.2986770693310029,0.5610924938297659,498
FCX,sp500,1.5171940500396013,0.10888786970515033,0.26491770289900146,0.40122242902944194,0.5605810807812464,498
ITW,sp500,0.7288917307711442,0.07107386422108992,0.14805516521953407,0.1929044674122428,0.5601485889314157,498
GOOGL,sp500,1.1120437570070552,0.25854919504967605,0.2048558583146788,0.29515282347967914,0.5585440666673104,498
JPM,sp500,0.8794038538675643,0.3614947391344687,0.17036796099171295,0.23406501310684824,0.5569732924253883,498
BKNG,sp500,1.0505847039509337,0.3884297976744562,0.19574480951022966,0.28034246595450885,0.5555519709793176,498
ORCL,sp500,1.4055181873215192,0.30871997309606847,0.24836222107967873,0.3781068409487487,0.5510670490828851,498
XLV,fintual,0.4747299610660542,0.043981351341093516,0.1103767407587199,0.1277377522145815,0.5509470735049168,498
CNRG,fintual,1.185132226524037,-0.16668506380076575,0.21569091970431065,0.3194772854635094,0.5499324293099955,498
VNQ,fintual,0.6747569113966732,0.10089099857597962,0.1400299035727193,0.1841688024574159,0.543142498827121,498
TSLA,sp500,2.2644789865788484,0.45236949562190426,0.3756995843155852,0.6258228235152049,0.5364131375554236,498
BAC,sp500,0.9529265292511742,0.26264115845143216,0.18126739159377658,0.2641367958538754,0.5348266270025018,498
HON,sp500,0.7431869029775475,0.08552870264767008,0.15017436499831383,0.2070374929918757,0.5321469237585732,498
SHW,sp500,0.7990448231380913,0.25816641886733654,0.15845506916459856,0.22401629889457886,0.528778797565721,498
PNC,sp500,0.935027356328501,0.25318639635750384,0.17861391370974813,0.2688503749463619,0.5155801390918755,498
USB,sp500,1.0647345917058513,0.26510657745221317,0.19784247147379436,0.3075950117534131,0.5131502964694711,498
CRM,sp500,1.1528261414925245,0.22717764704506124,0.21090167706606147,0.3341950471464842,0.5113830337262657,498
BR,sp500,0.6837480744387004,0.2505299908088371,0.14136280606976667,0.1986766937878623,0.5101897164545991,498
LIN,sp500,0.6060844860249078,0.13911310621303807,0.12984950234670778,0.17711198998208844,0.5073033302589756,498
EMB,fintual,0.2851849575130621,0.08177143402397677,0.08227748292547879,0.08382953597706845,0.5043268155157603,498
PLD,sp500,0.9218377482049885,-0.026874096106313264,0.1766586092045657,0.2749795898309617,0.496977282163283,498
HD,sp500,0.7045574321567104,0.16767915082581197,0.1444477067366367,0.2129742218747274,0.49042417348552825,498
COST,sp500,0.6631856037625581,0.3940031567583885,0.13831450537923515,0.2018199860731404,0.4871395905438501,498
SYK,sp500,0.6946338052812576,0.17036045823067358,0.1429765703574798,0.21486337267701577,0.47926535395250885,498
CSX,sp500,0.6892954154717097,-0.01550872418251165,0.1421851762882033,0.2164252874542269,0.4721498928807709,498
ADBE,sp500,1.1088105416747254,0.11395992710093303,0.2043765475992786,0.3508281086404828,0.46853870471287207,498
DHR,sp500,0.8121279433789544,0.005583987465089112,0.16039458728441294,0.2570256609834453,0.46841465876890553,498
LOW,sp500,0.7192323133831816,0.10076931792552277,0.14662319679717803,0.23110578377193383,0.4613610055834815,498
ACN,sp500,0.7498971461310476,0.11828475157428607,0.15116913061576376,0.24288379537113214,0.45770501257975943,498
NFLX,sp500,1.070319931074843,0.6927067805796803,0.19867047478737984,0.347204644293704,0.4569941024554926,498
NSC,sp500,0.8018467518684321,0.09790093968687427,0.1588704434363989,0.2608493703448755,0.45570531099706046,498
ICE,sp500,0.5406699067183168,0.2722665652373729,0.12015206323972014,0.17611416400059046,0.45511423623741815,498
TJX,sp500,0.5315588375897146,0.28256292534280336,0.11880138516442335,0.17315818644534683,0.4550832206209036,498
ADP,sp500,0.575869187093002,0.21646183612180644,0.12537021004524276,0.18876642789868264,0.45225314159710567,498
DE,sp500,0.7992405157458958,0.16830727704934567,0.15848407977917392,0.26223589643832124,0.4518225055700632,498
BA,sp500,1.0628232285784338,0.030862118778163593,0.19755911984582472,0.3527109528417786,0.4467088945675685,498
FLIN,fintual,0.419515229995058,0.16261498454035495,0.10219138669781355,0.14122143597624037,0.4403820586293774,498
SCHW,sp500,0.8860400952965723,0.34241770600809773,0.17135175616152443,0.2995779337726166,0.4384560455017426,498
MMM,sp500,0.955537703147228,0.35095851133167416,0.18165448725537303,0.326319032507376,0.4340981467336605,498
OXY,sp500,0.814818484163965,-0.1335238495452927,0.1607934487569483,0.28160456678632634,0.4289470520149731,498
COP,sp500,0.7490462105629909,0.019731447382572688,0.1510429829596499,0.2775884491314814,0.40002739057435976,498
